timestamp,gps(latitude),gps(longitude),gps(altitude),speed(m/s)
1633438044,4.880995415,-1.753098113,9.408086292,6.11158917
1633438044,4.880995415,-1.753098113,9.408086292,6.11158917
1633438044,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.880995415,-1.753098113,9.408086292,6.11158917
1633438045,4.881000055,-1.753178076,8.950188658,7.568243949
1633438045,4.881000055,-1.753178076,8.950188658,7.568243949
1633438045,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000055,-1.753178076,8.950188658,7.568243949
1633438046,4.881000887,-1.75326939,8.674709043,8.529405738
1633438046,4.881000887,-1.75326939,8.674709043,8.529405738
1633438046,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881000887,-1.75326939,8.674709043,8.529405738
1633438047,4.881001654,-1.753352178,8.269231967,8.694812308
1633438047,4.881001654,-1.753352178,8.269231967,8.694812308
1633438047,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001654,-1.753352178,8.269231967,8.694812308
1633438048,4.881001653,-1.753446608,7.938616245,9.483523511
1633438048,4.881001653,-1.753446608,7.938616245,9.483523511
1633438048,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.881001653,-1.753446608,7.938616245,9.483523511
1633438049,4.880993594,-1.753545543,7.531052069,10.02185793
1633438049,4.880993594,-1.753545543,7.531052069,10.02185793
1633438049,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880993594,-1.753545543,7.531052069,10.02185793
1633438050,4.880988748,-1.75364367,7.25659941,10.33545158
1633438050,4.880988748,-1.75364367,7.25659941,10.33545158
1633438050,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880988748,-1.75364367,7.25659941,10.33545158
1633438051,4.880980468,-1.753750379,7.443321486,10.88988197
1633438051,4.880980468,-1.753750379,7.443321486,10.88988197
1633438051,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880980468,-1.753750379,7.443321486,10.88988197
1633438052,4.880983828,-1.75377673,7.507053481,5.673879742
1633438052,4.880983828,-1.75377673,7.507053481,5.673879742
1633438052,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880983828,-1.75377673,7.507053481,5.673879742
1633438053,4.880984051,-1.753920238,7.620228156,11.28846617
1633438053,4.880984051,-1.753920238,7.620228156,11.28846617
